pm25,pm10,o3,no2,so2
7.29,41.13,22.81,6.83,9.49
7.13,44.98,13.43,6.77,12.49
7.51,51.29,7.8,6.8,19.42
7.87,66.79,8.21,6.7,22.91
8.17,77.87,14.77,6.65,24.54
7.87,78.01,17.6,7.08,10.71
6.93,86.6,12.95,6.87,6.14
8.77,99.46,11.86,6.83,15.33
9.77,98.15,4.36,6.8,19.9
9.18,92.06,9.05,6.73,21.84
8.92,90.0,14.81,6.56,23.58
7.86,84.25,19.26,6.94,13.12
7.64,79.2,18.34,6.98,8.07
8.18,76.69,11.26,6.84,11.98
8.2,73.53,5.77,6.74,19.77
6.82,71.05,9.8,6.76,21.46
6.65,72.9,12.87,6.54,25.53
7.47,73.81,8.59,6.69,17.7
7.69,68.41,11.83,6.59,15.81
8.1,63.37,10.52,6.41,21.13
8.26,63.57,13.82,6.14,30.02
7.93,56.14,22.54,6.01,32.5
7.23,48.0,28.52,6.02,35.14
7.07,45.57,14.45,6.44,23.68
6.8,52.26,7.36,6.47,16.6
7.47,60.72,6.7,6.21,21.26
7.76,63.14,18.55,6.39,29.77
7.25,69.19,11.21,6.02,34.3
8.06,68.79,26.11,5.9,35.2
8.61,69.93,11.7,6.4,21.41
8.91,69.75,23.58,6.47,14.94
8.58,65.18,11.85,6.33,14.31
6.83,60.78,10.29,6.24,20.35
5.2,52.35,14.93,6.12,24.68
4.46,54.25,12.28,6.07,27.5
4.39,65.44,10.48,6.45,12.25
5.19,71.05,20.18,6.51,5.27
5.43,75.19,9.16,6.46,7.02
5.47,73.65,6.88,6.34,17.22
6.27,73.81,20.79,6.15,20.52
6.61,81.72,14.72,6.01,23.47
7.02,82.02,11.1,6.4,11.33
6.54,79.99,16.47,6.54,6.23
10.46,81.93,8.29,6.22,10.49
13.23,84.15,11.57,6.02,21.34
12.51,86.93,9.82,5.85,28.42
11.39,99.2,10.7,5.67,30.53
9.69,110.97,13.54,6.18,18.61
8.84,115.73,15.27,6.1,10.86
12.23,124.14,12.77,6.04,14.5
15.58,129.18,12.06,6.0,24.75
15.14,142.53,9.25,5.92,29.4
12.61,161.36,10.77,5.78,30.37
9.77,163.01,12.79,6.15,17.36
10.04,160.13,25.33,6.2,10.33
18.77,157.15,15.45,6.09,15.24
20.13,157.46,13.6,6.03,22.94
16.14,165.19,7.18,5.83,27.98
13.93,164.49,10.8,5.72,29.02
10.87,156.38,13.57,6.3,15.17
8.5,151.16,7.46,6.12,8.54
16.33,159.79,7.29,6.14,10.75
19.13,166.98,9.05,6.03,20.25
15.18,164.97,7.09,6.04,26.08
13.38,159.94,10.62,5.84,28.86
12.85,142.21,15.61,6.09,17.83
13.08,132.43,24.33,6.17,8.99
12.94,121.66,20.91,5.88,15.83
16.5,107.12,28.55,4.92,48.37
46.22,227.94,8.05,4.61,93.88
39.45,334.01,9.12,5.0,89.4
32.46,311.37,10.99,4.91,87.65
26.94,312.58,20.3,4.71,90.8
20.31,291.74,14.0,5.11,81.69
15.06,221.88,21.76,5.12,69.23
14.02,184.98,14.1,5.06,7.84
13.94,162.07,15.44,4.91,10.42
12.89,133.88,17.13,4.95,11.07
14.49,131.84,26.72,4.92,8.72
15.11,127.74,18.35,5.13,0.1
13.78,126.94,9.54,5.34,0.0
12.5,132.83,12.55,5.05,1.71
12.15,138.04,10.2,5.11,7.2
11.35,142.63,14.15,5.11,8.68
23.3,143.83,32.5,4.82,14.21
26.8,132.28,37.05,5.01,11.84
20.27,120.46,35.9,4.93,11.68
15.98,104.33,34.7,4.33,26.86
11.85,74.91,35.96,4.34,47.16
9.64,64.03,34.0,3.71,67.26
63.53,36.88,38.4,4.97,67.1
51.03,44.55,15.4,4.17,79.54
43.62,75.78,44.76,4.95,27.88
33.47,106.98,18.38,5.12,25.07
24.19,102.15,19.2,4.85,25.09
17.81,76.94,17.25,5.02,24.69
14.17,70.11,21.8,5.12,23.24
12.61,69.99,18.22,5.16,4.01
10.77,63.05,30.48,5.32,0.07
8.73,58.0,22.58,5.31,0.0
8.74,53.3,16.84,5.48,0.0
9.0,53.02,12.54,5.32,0.0
7.78,55.83,16.53,5.56,0.0
7.09,50.71,33.81,5.05,0.0
6.69,47.93,14.28,5.5,0.0
7.32,49.53,15.59,5.47,0.0
7.02,60.69,18.67,6.06,4.16
6.89,59.07,18.55,5.63,8.47
7.85,51.58,18.33,5.35,17.54
12.2,56.91,36.34,5.19,22.02
12.93,54.98,16.86,4.91,18.31
11.13,55.3,21.01,5.47,11.49
11.16,64.58,15.46,5.06,16.18
10.83,72.9,17.74,5.51,22.99
9.64,80.56,16.56,5.2,23.72
8.84,95.67,29.79,4.88,26.77
8.88,105.17,19.11,5.15,21.42
13.42,111.76,10.28,5.53,9.3
13.71,114.79,16.83,5.44,14.19
10.54,108.91,10.69,5.32,19.48
9.21,102.66,15.15,5.3,20.85
11.66,91.15,23.68,5.11,4.56
11.64,84.31,10.3,5.52,0.0
8.93,83.68,16.28,5.56,0.0
8.01,82.25,7.82,5.56,0.0
9.03,74.42,9.6,5.37,0.36
12.7,74.04,9.21,5.32,0.97
14.48,79.21,24.74,5.53,0.92
11.21,78.88,17.16,5.71,0.0
9.46,80.08,5.91,5.43,0.0
7.95,83.14,10.22,7.53,0.23
14.62,87.36,9.15,9.61,1.17
26.45,84.85,21.58,9.86,2.36
27.73,90.19,11.14,9.98,0.0
21.61,96.22,22.83,9.92,0.0
21.25,97.41,7.49,9.58,0.0
19.61,96.58,12.91,9.68,0.72
16.3,103.3,14.21,9.49,2.28
15.2,124.46,22.41,9.43,1.62
21.54,136.63,9.15,10.16,0.0
22.09,139.08,24.49,10.06,0.0
16.41,140.8,6.52,9.77,0.0
13.65,138.34,13.01,9.5,0.46
12.14,132.26,12.79,9.64,2.92
9.57,126.54,18.66,9.32,4.23
7.17,119.95,14.0,9.87,0.0
7.76,109.92,18.84,10.02,0.0
8.03,98.66,9.3,9.84,0.0
9.27,89.38,14.84,9.71,0.0
10.76,88.36,10.27,9.68,0.61
10.46,90.4,12.32,9.46,0.98
9.97,88.07,12.63,10.21,0.0
8.59,87.09,27.65,10.28,0.0
6.47,87.32,7.18,10.19,0.0
5.28,86.87,15.46,10.03,0.0
4.49,86.85,10.6,9.59,0.57
5.69,83.59,21.02,9.93,1.47
7.42,79.37,12.39,10.07,0.0
7.44,72.74,14.09,10.15,0.0
7.02,64.09,7.76,9.87,0.0
5.93,58.39,11.09,9.95,0.01
4.46,54.15,7.67,10.13,1.9
3.76,52.64,11.65,9.38,1.94
3.97,47.11,10.86,10.31,0.0
4.76,51.08,23.05,10.4,0.0
8.82,52.89,7.98,10.15,0.0
9.72,48.03,5.8,10.01,0.0
8.77,46.78,8.68,10.06,0.31
7.9,39.35,13.14,9.84,1.59
9.58,30.61,12.28,10.29,0.0
10.09,23.46,14.04,10.39,0.0
6.42,28.09,9.77,9.98,0.05
14.27,31.17,15.62,9.98,2.66
9.58,21.4,17.59,8.16,0.0
8.84,24.99,19.41,8.09,0.0
7.26,30.16,12.01,8.19,5.93
6.22,36.06,15.12,7.9,14.89
8.71,38.21,11.11,7.8,21.54
6.35,39.1,35.68,8.01,5.12
6.85,40.26,15.1,7.49,21.75
7.45,37.92,9.66,8.09,11.86
8.01,35.27,15.48,8.37,7.44
8.7,32.74,17.89,7.94,13.95
9.87,28.54,18.74,8.13,7.79
10.13,25.91,15.67,8.48,0.41
10.77,24.84,9.0,8.41,3.27
12.18,22.92,14.18,8.34,4.27
12.26,20.4,18.7,8.38,4.81
10.98,17.47,19.87,8.1,6.61
10.69,16.86,40.4,8.51,0.38
9.64,19.06,70.6,8.6,0.0
8.05,19.08,9.34,8.42,2.23
8.45,27.12,8.16,8.42,4.59
9.48,34.05,8.48,8.53,5.94
10.36,32.44,7.9,8.15,12.29
10.58,38.61,22.46,8.04,10.16
10.02,38.56,44.33,8.1,7.42
9.35,33.89,14.62,7.37,19.35
7.63,34.83,21.01,6.97,33.59
6.24,35.7,15.76,7.62,18.04
7.26,29.93,20.84,7.38,21.46
9.02,24.06,18.82,7.69,19.04
8.67,26.48,15.13,8.08,7.0
8.2,26.37,10.6,7.83,12.74
7.67,26.62,22.94,8.05,9.48
7.23,29.28,10.68,8.42,6.76
8.21,34.66,11.27,7.86,14.12
9.57,35.38,19.28,8.04,10.83
10.45,28.07,5.87,8.26,3.5
10.73,26.73,10.98,8.17,6.47
11.4,26.57,25.88,8.39,4.09
10.82,23.5,22.41,8.26,6.28
10.03,25.95,18.31,7.81,11.39
10.29,25.38,13.87,8.11,7.06
10.63,22.7,62.96,8.35,0.57
11.38,27.08,10.4,8.37,2.8
10.48,27.02,9.36,8.38,4.04
10.41,26.94,8.8,8.38,7.69
10.11,32.07,12.09,7.88,15.2
9.13,34.86,18.69,8.05,13.09
8.64,35.35,41.84,8.28,4.25
9.55,34.57,11.84,7.54,16.39
9.39,30.84,17.84,6.47,40.26
9.45,27.65,11.72,6.49,49.56
8.44,27.81,21.52,6.79,48.64
6.18,27.09,12.96,6.99,33.8
6.12,26.3,10.74,6.72,44.15
13.91,27.71,15.24,6.4,58.16
15.99,31.94,15.23,6.96,43.26
11.71,34.32,21.05,7.62,22.74
14.61,30.3,12.58,7.11,27.27
14.94,27.96,11.45,6.81,38.26
11.16,24.73,22.75,7.22,30.51
18.25,21.81,17.84,8.1,12.19
21.48,23.47,11.75,7.35,16.42
17.18,22.36,14.11,7.81,16.04
14.83,17.95,22.58,8.14,7.35
12.4,14.67,13.84,7.57,15.94
10.72,12.02,24.83,7.89,13.74
9.45,11.76,7.81,8.06,5.09
15.18,15.61,9.22,7.62,12.26
18.11,19.6,11.61,7.83,16.93
15.05,18.89,22.54,8.28,6.3
11.66,20.33,15.85,7.82,14.19
9.71,24.55,19.64,7.84,16.26
13.07,26.39,13.77,7.75,14.22
13.64,24.86,13.44,7.4,22.05
11.32,21.73,20.56,6.88,35.27
13.78,8.48,10.95,7.88,12.82
14.45,11.74,3.92,8.22,5.55
12.63,9.12,5.88,8.05,8.03
12.5,7.58,17.42,7.75,23.9
10.64,15.04,6.67,8.02,16.89
9.52,17.52,15.54,8.66,10.29
9.09,13.35,10.06,8.24,5.88
8.0,17.0,30.0,72.0,8.0
9.0,17.0,29.0,90.0,11.0
9.0,18.0,28.0,94.0,9.0
9.0,18.0,27.0,75.0,9.0
8.0,17.0,26.0,73.0,6.0
8.0,18.0,27.0,66.0,7.0
8.0,18.0,26.0,80.0,8.0
8.0,19.0,25.0,96.0,10.0
8.0,20.0,23.0,94.0,11.0
9.0,20.0,21.0,102.0,11.0
9.0,20.0,19.0,99.0,12.0
9.0,20.0,17.0,65.0,10.0
9.0,19.0,18.0,66.0,8.0
8.0,19.0,17.0,62.0,6.0
8.0,19.0,17.0,77.0,7.0
8.0,19.0,17.0,104.0,12.0
9.0,19.0,17.0,117.0,13.0
8.0,18.0,19.0,59.0,10.0
8.0,18.0,22.0,52.0,8.0
8.0,18.0,24.0,34.0,5.0
8.0,18.0,25.0,42.0,3.0
8.0,17.0,27.0,40.0,3.0
7.0,17.0,29.0,53.0,3.0
7.0,16.0,32.0,47.0,3.0
7.0,16.0,34.0,44.0,3.0
7.0,16.0,35.0,35.0,3.0
7.0,17.0,30.0,64.0,6.0
8.0,17.0,22.0,87.0,13.0
8.0,18.0,18.0,103.0,16.0
8.0,18.0,15.0,103.0,16.0
8.0,18.0,15.0,116.0,15.0
8.0,18.0,10.0,108.0,13.0
8.0,18.0,7.0,108.0,11.0
8.0,19.0,7.0,96.0,12.0
8.0,19.0,8.0,100.0,14.0
9.0,20.0,8.0,112.0,15.0
9.0,22.0,9.0,112.0,15.0
10.0,23.0,10.0,72.0,13.0
10.0,25.0,23.0,32.0,5.0
10.0,25.0,32.0,28.0,3.0
10.0,25.0,43.0,18.0,2.0
10.0,25.0,51.0,31.0,3.0
10.0,24.0,50.0,70.0,7.0
10.0,24.0,48.0,62.0,7.0
10.0,23.0,44.0,87.0,9.0
10.0,23.0,42.0,70.0,8.0
10.0,23.0,37.0,64.0,5.0
9.0,24.0,37.0,67.0,7.0
9.0,24.0,30.0,55.0,6.0
9.0,25.0,29.0,50.0,4.0
10.0,26.0,27.0,86.0,6.0
10.0,27.0,25.0,98.0,9.0
10.0,27.0,24.0,104.0,10.0
10.0,26.0,22.0,99.0,11.0
10.0,26.0,21.0,89.0,11.0
10.0,28.0,18.0,85.0,9.0
14.0,31.0,26.0,70.0,7.0
13.0,30.0,23.0,118.0,17.0
13.0,30.0,20.0,110.0,22.0
13.0,30.0,16.0,128.0,22.0
13.0,30.0,12.0,115.0,21.0
13.0,30.0,10.0,99.0,17.0
13.0,30.0,11.0,80.0,16.0
13.0,30.0,12.0,82.0,11.0
11.0,26.0,19.0,100.0,13.0
10.0,25.0,19.0,102.0,13.0
10.0,24.0,18.0,90.0,12.0
10.0,22.0,17.0,95.0,11.0
9.0,21.0,16.0,85.0,11.0
9.0,20.0,15.0,85.0,11.0
9.0,20.0,15.0,56.0,8.0
9.0,20.0,18.0,45.0,7.0
9.0,20.0,20.0,50.0,6.0
9.0,20.0,22.0,49.0,6.0
9.0,20.0,23.0,63.0,7.0
10.0,20.0,23.0,103.0,11.0
10.0,21.0,22.0,125.0,15.0
10.0,21.0,21.0,129.0,17.0
10.0,21.0,20.0,120.0,16.0
9.0,22.0,17.0,128.0,19.0
10.0,21.0,15.0,124.0,19.0
9.0,21.0,13.0,133.0,18.0
9.0,21.0,12.0,112.0,18.0
9.0,20.0,12.0,118.0,17.0
10.0,20.0,12.0,139.0,19.0
10.0,21.0,12.0,96.0,17.0
10.0,22.0,12.0,132.0,19.0
10.0,22.0,11.0,128.0,18.0
11.0,23.0,10.0,117.0,19.0
11.0,24.0,9.0,123.0,19.0
12.0,24.0,8.0,104.0,15.0
12.0,24.0,7.0,96.0,13.0
12.0,25.0,7.0,106.0,13.0
13.0,26.0,6.0,90.0,11.0
14.0,28.0,6.0,71.0,9.0
15.0,29.0,6.0,67.0,7.0
15.0,29.0,6.0,64.0,6.0
16.0,30.0,6.0,54.0,5.0
16.0,30.0,6.0,38.0,2.0
17.0,30.0,6.0,39.0,2.0
17.0,30.0,6.0,43.0,3.0
17.0,30.0,7.0,41.0,2.0
18.0,30.0,8.0,43.0,2.0
18.0,30.0,10.0,37.0,2.0
18.0,30.0,12.0,36.0,2.0
18.0,30.0,14.0,37.0,2.0
19.0,29.0,16.0,33.0,1.0
18.0,29.0,17.0,35.0,1.0
18.0,28.0,19.0,26.0,0.0
18.0,27.0,20.0,26.0,0.0
18.0,26.0,21.0,30.0,1.0
17.0,25.0,22.0,27.0,1.0
17.0,24.0,24.0,24.0,1.0
5.0,16.0,36.0,49.0,3.0
6.0,17.0,28.0,68.0,8.0
7.0,18.0,24.0,91.0,13.0
7.0,18.0,20.0,63.0,12.0
8.0,20.0,12.0,77.0,13.0
9.0,21.0,9.0,82.0,14.0
9.0,21.0,8.0,77.0,13.0
10.0,22.0,7.0,77.0,12.0
11.0,22.0,7.0,71.0,14.0
11.0,23.0,7.0,88.0,13.0
12.0,23.0,7.0,85.0,11.0
13.0,25.0,7.0,53.0,9.0
14.0,26.0,7.0,52.0,8.0
14.0,27.0,7.0,47.0,7.0
15.0,26.0,7.0,49.0,7.0
16.0,26.0,7.0,41.0,5.0
17.0,28.0,7.0,42.0,5.0
18.0,28.0,6.0,37.0,4.0
19.0,29.0,6.0,40.0,3.0
19.0,29.0,6.0,39.0,3.0
20.0,30.0,6.0,56.0,8.0
20.0,30.0,6.0,86.0,15.0
21.0,31.0,6.0,86.0,15.0
22.0,29.0,11.0,128.0,22.0
22.0,29.0,11.0,105.0,21.0
21.0,29.0,11.0,118.0,23.0
21.0,30.0,9.0,118.0,23.0
20.0,30.0,7.0,152.0,26.0
19.0,31.0,6.0,128.0,25.0
18.0,30.0,6.0,152.0,24.0
18.0,30.0,6.0,134.0,25.0
18.0,30.0,5.0,112.0,22.0
18.0,31.0,5.0,109.0,20.0
18.0,32.0,5.0,118.0,20.0
19.0,32.0,4.0,93.0,16.0
19.0,32.0,4.0,76.0,15.0
19.0,33.0,4.0,71.0,11.0
19.0,33.0,4.0,64.0,8.0
19.0,33.0,4.0,55.0,6.0
20.0,34.0,4.0,42.0,5.0
21.0,35.0,4.0,43.0,4.0
22.0,36.0,4.0,50.0,5.0
22.0,36.0,4.0,50.0,7.0
22.0,36.0,4.0,61.0,10.0
23.0,36.0,4.0,66.0,10.0
23.0,35.0,4.0,61.0,10.0
23.0,35.0,4.0,50.0,10.0
22.0,34.0,4.0,67.0,9.0
22.0,33.0,5.0,73.0,9.0
22.0,32.0,5.0,55.0,9.0
23.0,31.0,5.0,67.0,8.0
23.0,31.0,4.0,55.0,9.0
23.0,31.0,4.0,62.0,7.0
22.0,30.0,4.0,75.0,8.0
23.0,29.0,4.0,58.0,8.0
22.0,28.0,4.0,41.0,5.0
21.0,27.0,5.0,39.0,5.0
21.0,27.0,6.0,33.0,5.0
21.0,26.0,7.0,28.0,3.0
22.0,27.0,8.0,28.0,2.0
22.0,26.0,8.0,31.0,3.0
22.0,26.0,9.0,27.0,3.0
22.0,26.0,9.0,29.0,3.0
22.0,26.0,8.0,35.0,5.0
22.0,26.0,8.0,48.0,7.0
22.0,27.0,6.0,121.0,16.0
23.0,28.0,6.0,126.0,18.0
23.0,28.0,6.0,134.0,15.0
24.0,29.0,5.0,114.0,18.0
24.0,30.0,6.0,116.0,18.0
24.0,31.0,6.0,119.0,18.0
24.0,31.0,6.0,137.0,16.0
24.0,31.0,6.0,133.0,16.0
24.0,31.0,7.0,106.0,16.0
24.0,32.0,8.0,100.0,13.0
24.0,32.0,9.0,86.0,11.0
24.0,32.0,10.0,72.0,7.0
24.0,33.0,12.0,80.0,6.0
24.0,33.0,12.0,78.0,6.0
24.0,32.0,13.0,72.0,5.0
24.0,33.0,15.0,48.0,3.0
24.0,32.0,18.0,32.0,3.0
24.0,32.0,20.0,36.0,2.0
23.0,32.0,22.0,32.0,2.0
23.0,32.0,22.0,38.0,2.0
23.0,33.0,22.0,72.0,6.0
23.0,33.0,22.0,73.0,7.0
23.0,33.0,21.0,66.0,7.0
23.0,33.0,19.0,73.0,9.0
23.0,34.0,17.0,70.0,9.0
23.0,34.0,14.0,79.0,10.0
23.0,33.0,12.0,94.0,10.0
23.0,33.0,12.0,87.0,8.0
22.0,32.0,12.0,77.0,7.0
22.0,32.0,13.0,83.0,8.0
22.0,31.0,14.0,90.0,7.0
22.0,31.0,15.0,64.0,6.0
22.0,31.0,16.0,47.0,4.0
22.0,32.0,16.0,51.0,4.0
23.0,32.0,16.0,41.0,3.0
23.0,32.0,17.0,63.0,4.0
23.0,31.0,18.0,51.0,4.0
23.0,32.0,19.0,52.0,3.0
23.0,32.0,19.0,54.0,5.0
24.0,33.0,19.0,41.0,4.0
24.0,33.0,20.0,41.0,4.0
24.0,33.0,21.0,38.0,4.0
24.0,34.0,21.0,25.0,2.0
24.0,34.0,21.0,43.0,3.0
24.0,33.0,21.0,40.0,2.0
24.0,33.0,20.0,53.0,4.0
24.0,33.0,19.0,45.0,4.0
24.0,32.0,19.0,55.0,4.0
23.0,32.0,18.0,54.0,4.0
23.0,32.0,17.0,60.0,7.0
23.0,32.0,15.0,96.0,11.0
24.0,33.0,11.0,126.0,18.0
25.0,34.0,10.0,129.0,18.0
25.0,34.0,9.0,116.0,19.0
26.0,35.0,8.0,103.0,16.0
26.0,35.0,8.0,76.0,12.0
26.0,35.0,7.0,73.0,10.0
26.0,36.0,8.0,64.0,10.0
26.0,36.0,8.0,105.0,11.0
26.0,36.0,9.0,60.0,8.0
26.0,36.0,11.0,35.0,5.0
25.0,35.0,14.0,30.0,5.0
25.0,35.0,18.0,29.0,4.0
23.0,32.0,24.0,118.0,16.0
22.0,32.0,24.0,119.0,17.0
22.0,31.0,22.0,139.0,19.0
21.0,30.0,19.0,148.0,20.0
21.0,30.0,16.0,162.0,22.0
20.0,29.0,10.0,116.0,19.0
18.0,28.0,9.0,131.0,23.0
17.0,26.0,8.0,132.0,20.0
16.0,24.0,8.0,142.0,18.0
15.0,23.0,9.0,114.0,16.0
14.0,22.0,9.0,124.0,18.0
13.0,20.0,9.0,97.0,17.0
12.0,19.0,9.0,79.0,14.0
11.0,18.0,10.0,103.0,18.0
11.0,18.0,10.0,109.0,17.0
11.0,17.0,11.0,59.0,11.0
10.0,17.0,13.0,43.0,8.0
9.0,16.0,23.0,48.0,6.0
9.0,15.0,24.0,48.0,7.0
9.0,16.0,24.0,140.0,18.0
9.0,16.0,21.0,176.0,27.0
9.0,17.0,19.0,127.0,24.0
9.0,16.0,19.0,127.0,24.0
9.0,15.0,16.0,127.0,24.0
7.0,12.0,8.0,146.0,24.0
6.0,11.0,8.0,129.0,22.0
6.0,10.0,9.0,107.0,20.0
6.0,9.0,10.0,84.0,16.0
5.0,7.0,17.0,42.0,7.0
4.0,7.0,27.0,36.0,5.0
4.0,6.0,32.0,32.0,4.0
4.0,6.0,35.0,56.0,6.0
4.0,5.0,35.0,132.0,13.0
3.0,5.0,35.0,100.0,11.0
3.0,3.0,33.0,106.0,13.0
3.0,2.0,29.0,138.0,15.0
3.0,1.0,25.0,89.0,14.0
2.0,1.0,19.0,128.0,11.0
2.0,1.0,19.0,87.0,11.0
2.0,1.0,19.0,155.0,18.0
2.0,1.0,19.0,148.0,23.0
2.0,1.0,17.0,176.0,27.0
2.0,1.0,15.0,178.0,24.0
11.0,26.0,15.0,89.0,11.0
12.0,27.0,15.0,115.0,13.0
12.0,26.0,15.0,103.0,13.0
13.0,27.0,15.0,81.0,13.0
13.0,28.0,15.0,92.0,8.0
13.0,27.0,15.0,96.0,10.0
13.0,26.0,14.0,100.0,11.0
13.0,26.0,13.0,125.0,11.0
13.0,25.0,14.0,85.0,11.0
13.0,24.0,17.0,64.0,5.0
12.0,22.0,20.0,63.0,4.0
12.0,21.0,21.0,61.0,4.0
11.0,20.0,22.0,54.0,4.0
11.0,18.0,25.0,53.0,4.0
10.0,17.0,28.0,56.0,4.0
10.0,16.0,31.0,35.0,3.0
10.0,15.0,30.0,67.0,5.0
10.0,15.0,30.0,55.0,5.0
10.0,15.0,29.0,45.0,3.0
11.0,15.0,29.0,49.0,4.0
11.0,15.0,28.0,45.0,4.0
11.0,15.0,26.0,34.0,3.0
12.0,16.0,25.0,46.0,5.0
13.0,16.0,21.0,67.0,6.0
13.0,17.0,19.0,66.0,8.0
14.0,18.0,16.0,80.0,13.0
14.0,19.0,15.0,81.0,12.0
15.0,19.0,14.0,78.0,10.0
15.0,18.0,14.0,78.0,9.0
15.0,18.0,13.0,115.0,10.0
14.0,18.0,13.0,108.0,10.0
15.0,18.0,13.0,95.0,10.0
15.0,19.0,13.0,127.0,11.0
15.0,19.0,13.0,129.0,13.0
16.0,20.0,11.0,128.0,17.0
16.0,21.0,9.0,137.0,19.0
17.0,22.0,7.0,114.0,16.0
17.0,22.0,6.0,100.0,16.0
17.0,22.0,6.0,76.0,14.0
17.0,22.0,6.0,77.0,11.0
16.0,21.0,7.0,58.0,8.0
16.0,21.0,8.0,56.0,8.0
15.0,20.0,10.0,50.0,7.0
15.0,20.0,12.0,54.0,7.0
14.0,19.0,12.0,61.0,7.0
14.0,19.0,13.0,70.0,7.0
14.0,18.0,13.0,94.0,12.0
13.0,18.0,12.0,101.0,13.0
13.0,18.0,11.0,99.0,16.0
13.0,17.0,10.0,89.0,14.0
13.0,18.0,9.0,100.0,12.0
13.0,19.0,9.0,80.0,10.0
13.0,20.0,10.0,78.0,10.0
13.0,20.0,11.0,110.0,10.0
13.0,20.0,13.0,93.0,9.0
13.0,20.0,14.0,77.0,9.0
13.0,20.0,16.0,96.0,9.0
13.0,21.0,16.0,103.0,11.0
12.0,20.0,16.0,115.0,13.0
12.0,20.0,15.0,131.0,16.0
12.0,21.0,13.0,109.0,15.0
12.0,21.0,12.0,89.0,13.0
12.0,22.0,11.0,81.0,11.0
12.0,22.0,12.0,72.0,10.0
12.0,23.0,13.0,80.0,11.0
12.0,23.0,16.0,46.0,5.0
12.0,23.0,24.0,45.0,4.0
12.0,23.0,29.0,48.0,4.0
12.0,23.0,31.0,62.0,5.0
12.0,23.0,32.0,107.0,11.0
12.0,23.0,30.0,132.0,17.0
11.0,22.0,28.0,127.0,18.0
11.0,22.0,24.0,119.0,17.0
11.0,21.0,20.0,135.0,20.0
11.0,21.0,16.0,118.0,19.0
11.0,21.0,12.0,110.0,18.0
11.0,21.0,9.0,103.0,15.0
11.0,21.0,8.0,118.0,16.0
11.0,21.0,9.0,160.0,17.0
12.0,21.0,9.0,101.0,16.0
12.0,22.0,9.0,143.0,17.0
12.0,21.0,10.0,95.0,14.0
11.0,21.0,10.0,139.0,18.0
11.0,20.0,11.0,80.0,13.0
11.0,20.0,12.0,80.0,10.0
11.0,20.0,15.0,56.0,8.0
11.0,20.0,19.0,48.0,5.0
11.0,21.0,24.0,31.0,5.0
11.0,21.0,29.0,22.0,4.0
12.0,21.0,35.0,18.0,3.0
11.0,20.0,44.0,37.0,4.0
11.0,19.0,45.0,60.0,5.0
11.0,19.0,45.0,81.0,7.0
11.0,18.0,42.0,85.0,10.0
11.0,18.0,38.0,90.0,14.0
10.0,18.0,33.0,84.0,14.0
10.0,18.0,29.0,92.0,14.0
10.0,17.0,26.0,92.0,14.0
10.0,17.0,21.0,155.0,16.0
10.0,17.0,18.0,130.0,17.0
10.0,16.0,13.0,186.0,25.0
10.0,16.0,12.0,220.0,26.0
10.0,16.0,9.0,145.0,27.0
10.0,16.0,10.0,137.0,19.0
10.0,17.0,11.0,129.0,14.0
11.0,17.0,11.0,108.0,13.0
11.0,17.0,12.0,113.0,14.0
11.0,17.0,17.0,42.0,8.0
11.0,17.0,21.0,46.0,6.0
11.0,18.0,24.0,51.0,6.0
11.0,19.0,27.0,50.0,5.0
11.0,19.0,28.0,61.0,6.0
11.0,20.0,28.0,98.0,13.0
12.0,21.0,27.0,124.0,13.0
12.0,22.0,25.0,137.0,13.0
12.0,22.0,23.0,132.0,14.0
13.0,24.0,16.0,115.0,13.0
14.0,26.0,12.0,144.0,12.0
14.0,27.0,10.0,138.0,13.0
14.0,28.0,11.0,116.0,11.0
14.0,28.0,11.0,144.0,14.0
14.0,29.0,10.0,146.0,14.0
14.0,30.0,10.0,116.0,14.0
14.0,30.0,10.0,118.0,10.0
14.0,30.0,10.0,106.0,10.0
14.0,30.0,10.0,124.0,10.0
14.0,30.0,9.0,92.0,9.0
14.0,29.0,10.0,77.0,8.0
14.0,29.0,11.0,75.0,5.0
14.0,29.0,12.0,67.0,3.0
14.0,29.0,11.0,60.0,3.0
14.0,28.0,11.0,69.0,2.0
14.0,28.0,11.0,53.0,3.0
14.0,27.0,11.0,67.0,2.0
14.0,26.0,11.0,65.0,2.0
13.0,24.0,15.0,46.0,0.0
13.0,24.0,17.0,64.0,2.0
13.0,23.0,18.0,90.0,2.0
12.0,23.0,18.0,96.0,3.0
13.0,22.0,18.0,61.0,2.0
12.0,22.0,15.0,74.0,2.0
12.0,21.0,14.0,90.0,2.0
13.0,21.0,11.0,65.0,2.0
13.0,22.0,9.0,80.0,5.0
13.0,22.0,7.0,91.0,7.0
14.0,23.0,6.0,85.0,8.0
15.0,24.0,6.0,70.0,5.0
17.0,26.0,7.0,59.0,2.0
17.0,26.0,7.0,74.0,5.0
17.0,27.0,7.0,86.0,8.0
18.0,27.0,7.0,91.0,9.0
18.0,28.0,8.0,80.0,9.0
18.0,28.0,10.0,83.0,8.0
18.0,28.0,11.0,84.0,6.0
18.0,29.0,12.0,87.0,7.0
18.0,29.0,12.0,88.0,7.0
18.0,29.0,13.0,96.0,8.0
17.0,28.0,11.0,75.0,5.0
17.0,28.0,10.0,91.0,6.0
17.0,27.0,9.0,91.0,6.0
