pm25,pm10,o3,no2,so2,co
40.66250133514404,,,,,
50.14999993642172,,,,,
57.66666666666666,,,,,
76.35000101725261,,,,,
75.70416768391927,,,,,
96.9958324432373,,,,,
95.8625005086263,,,,,
69.80416584014893,,,,,
75.52500089009602,,,,,
75.10000038146973,,,,,
97.66250038146973,,,,,
114.0583324432373,,,,,
101.86666679382324,,,,,
111.15416781107584,,,,,
92.87499936421712,,,,,
84.44583320617676,,,,,
107.59166653951009,,,,,
114.71250025431316,,,,,
104.3333346048991,,,,,
48.52916590372721,,,,,
51.02916717529297,,,,,
64.79166730244954,,,,,
78.4583346048991,,,,,
74.05833371480306,,,,,
76.72083409627278,,,,,
82.9958324432373,,,,,
75.86666552225749,,,,,
78.50833320617676,,,,,
93.36249860127766,,,,,
66.14999930063884,,,,,
73.09583282470703,,,,,
74.2624994913737,,,,,
78.83749961853027,,,,,
81.12916882832845,,,,,
66.50833320617676,,,,,
56.537500063578285,,,,,
51.31666692097982,,,,,
107.21666653951009,,,,,
153.6541659037272,,,,,
126.1625010172526,,,,,
107.00833257039388,,,,,
105.96666844685872,,,,,
99.29583231608072,,,,,
72.58750089009602,,,,,
88.40833282470703,,,,,
103.67500114440918,,,,,
67.0458329518636,,,,,
107.17916679382324,,,,,
102.29583485921223,,,,,
72.32499885559082,,,,,
110.09583155314128,,,,,
105.3791669209798,,,,,
77.83750057220459,,,,,
65.71250025431316,,,,,
73.45416641235352,,,,,
48.95833269755045,,,,,
47.07500012715658,,,,,
48.27916653951009,,,,,
40.00000031789144,,,,,
26.00833304723104,,,,,
27.104166984558105,,,,,
23.166666507720947,,,,,
41.09583409627279,,,,,
60.52916717529297,,,,,
,,,,,
,,,,,
,,,,,
74.6772724498402,,,,,
73.47916666666667,,,,,
88.4375,,,,,
98.90000025431316,,,,,
99.64166768391928,,,,,
91.11249860127766,,,,,
109.08333269755046,,,,,
116.57916641235352,,,,,
106.1416670481364,,,,,
119.366668065389,,,,,
94.12916628519694,,,,,
76.06249936421712,,,,,
81.10416730244954,,,,,
87.59166717529297,,,,,
93.68749936421712,,,,,
91.70416577657063,,,,,
86.96666844685872,,,,,
64.75000063578288,,,,,
63.387499491373696,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
110.28333346048991,,,,,
105.07083257039388,,,,,
105.45833333333331,,,,,
116.04166475931804,,,,,
110.8791675567627,,,,,
118.91666475931804,,,,,
141.9124984741211,,,,,
104.57916641235352,,,,,
91.89583333333331,,,,,
70.46249961853027,,,,,
72.57499885559082,,,,,
74.20833396911621,,,,,
76.1583309173584,,,,,
71.28333377838135,,,,,
54.82500044504801,,,,,
43.29583263397217,,,,,
45.6875,,,,,
91.0333309173584,,,,,
112.52916653951009,,,,,
120.42499923706056,,,,,
97.02083269755046,,,,,
103.72500038146973,,,,,
