location_id,location_name,latitude,longitude,pm1,pm10,pm25,relativehumidity,temperature,um003
1367443,Depok,-6.409456,106.856152,,,40.66250133514404,,30.0,
1367443,Depok,-6.409456,106.856152,,,50.14999993642172,,,
1367443,Depok,-6.409456,106.856152,,,57.66666666666666,,,
1367443,Depok,-6.409456,106.856152,,,76.35000101725261,,,
1367443,Depok,-6.409456,106.856152,,,75.70416768391927,,,
1367443,Depok,-6.409456,106.856152,,,96.9958324432373,,,
1367443,Depok,-6.409456,106.856152,,,95.8625005086263,,,
1367443,Depok,-6.409456,106.856152,,,69.80416584014893,,,
1367443,Depok,-6.409456,106.856152,,,75.52500089009602,,,
1367443,Depok,-6.409456,106.856152,,,75.10000038146973,,,
1367443,Depok,-6.409456,106.856152,,,97.66250038146973,,,
1367443,Depok,-6.409456,106.856152,,,114.0583324432373,,,
1367443,Depok,-6.409456,106.856152,,,101.86666679382324,,,
1367443,Depok,-6.409456,106.856152,,,111.15416781107584,,,
1367443,Depok,-6.409456,106.856152,,,92.87499936421712,,,
1367443,Depok,-6.409456,106.856152,,,84.44583320617676,,,
1367443,Depok,-6.409456,106.856152,,,107.59166653951009,,,
1367443,Depok,-6.409456,106.856152,,,114.71250025431316,,,
1367443,Depok,-6.409456,106.856152,,,104.3333346048991,,,
1367443,Depok,-6.409456,106.856152,,,48.52916590372721,,,
1367443,Depok,-6.409456,106.856152,,,51.02916717529297,,,
1367443,Depok,-6.409456,106.856152,,,64.79166730244954,,,
1367443,Depok,-6.409456,106.856152,,,78.4583346048991,,,
1367443,Depok,-6.409456,106.856152,,,74.05833371480306,,,
1367443,Depok,-6.409456,106.856152,,,76.72083409627278,,,
1367443,Depok,-6.409456,106.856152,,,82.9958324432373,,,
1367443,Depok,-6.409456,106.856152,,,75.86666552225749,,,
1367443,Depok,-6.409456,106.856152,,,78.50833320617676,,,
1367443,Depok,-6.409456,106.856152,,,93.36249860127766,,,
1367443,Depok,-6.409456,106.856152,,,66.14999930063884,,,
1367443,Depok,-6.409456,106.856152,,,73.09583282470703,,,
1367443,Depok,-6.409456,106.856152,,,74.2624994913737,,,
1367443,Depok,-6.409456,106.856152,,,78.83749961853027,,,
1367443,Depok,-6.409456,106.856152,,,81.12916882832845,,,
1367443,Depok,-6.409456,106.856152,,,66.50833320617676,,,
1367443,Depok,-6.409456,106.856152,,,56.537500063578285,,,
1367443,Depok,-6.409456,106.856152,,,51.31666692097982,,,
1367443,Depok,-6.409456,106.856152,,,107.21666653951009,,,
1367443,Depok,-6.409456,106.856152,,,153.6541659037272,,,
1367443,Depok,-6.409456,106.856152,,,126.1625010172526,,,
1367443,Depok,-6.409456,106.856152,,,107.00833257039388,,,
1367443,Depok,-6.409456,106.856152,,,105.96666844685872,,,
1367443,Depok,-6.409456,106.856152,,,99.29583231608072,,,
1367443,Depok,-6.409456,106.856152,,,72.58750089009602,,,
1367443,Depok,-6.409456,106.856152,,,88.40833282470703,,,
1367443,Depok,-6.409456,106.856152,,,103.67500114440918,,,
1367443,Depok,-6.409456,106.856152,,,67.0458329518636,,,
1367443,Depok,-6.409456,106.856152,,,107.17916679382324,,,
1367443,Depok,-6.409456,106.856152,,,102.29583485921223,,,
1367443,Depok,-6.409456,106.856152,,,72.32499885559082,,,
1367443,Depok,-6.409456,106.856152,,,110.09583155314128,,,
1367443,Depok,-6.409456,106.856152,,,105.3791669209798,,,
1367443,Depok,-6.409456,106.856152,,,77.83750057220459,,,
1367443,Depok,-6.409456,106.856152,,,65.71250025431316,,,
1367443,Depok,-6.409456,106.856152,,,73.45416641235352,,,
1367443,Depok,-6.409456,106.856152,,,48.95833269755045,,,
1367443,Depok,-6.409456,106.856152,,,47.07500012715658,,,
1367443,Depok,-6.409456,106.856152,,,48.27916653951009,,,
1367443,Depok,-6.409456,106.856152,,,40.00000031789144,,,
1367443,Depok,-6.409456,106.856152,,,26.00833304723104,,,
1367443,Depok,-6.409456,106.856152,,,27.104166984558105,,,
1367443,Depok,-6.409456,106.856152,,,23.166666507720947,,,
1367443,Depok,-6.409456,106.856152,,,41.09583409627279,,,
1367443,Depok,-6.409456,106.856152,,,60.52916717529297,,,
1367443,Depok,-6.409456,106.856152,,,,,28.72083346048991,
1367443,Depok,-6.409456,106.856152,,,,,31.43749984105428,
1367443,Depok,-6.409456,106.856152,,,,,32.81666692097982,
1367443,Depok,-6.409456,106.856152,,,74.6772724498402,,,
1367443,Depok,-6.409456,106.856152,,,73.47916666666667,,,
1367443,Depok,-6.409456,106.856152,,,88.4375,,,
1367443,Depok,-6.409456,106.856152,,,98.90000025431316,,,
1367443,Depok,-6.409456,106.856152,,,99.64166768391928,,,
1367443,Depok,-6.409456,106.856152,,,91.11249860127766,,,
1367443,Depok,-6.409456,106.856152,,,109.08333269755046,,,
1367443,Depok,-6.409456,106.856152,,,116.57916641235352,,,
1367443,Depok,-6.409456,106.856152,,,106.1416670481364,,,
1367443,Depok,-6.409456,106.856152,,,119.366668065389,,,
1367443,Depok,-6.409456,106.856152,,,94.12916628519694,,,
1367443,Depok,-6.409456,106.856152,,,76.06249936421712,,,
1367443,Depok,-6.409456,106.856152,,,81.10416730244954,,,
1367443,Depok,-6.409456,106.856152,,,87.59166717529297,,,
1367443,Depok,-6.409456,106.856152,,,93.68749936421712,,,
1367443,Depok,-6.409456,106.856152,,,91.70416577657063,,,
1367443,Depok,-6.409456,106.856152,,,86.96666844685872,,,
1367443,Depok,-6.409456,106.856152,,,64.75000063578288,,,
1367443,Depok,-6.409456,106.856152,,,63.387499491373696,,,
1367443,Depok,-6.409456,106.856152,,,,,30.27500009536743,
1367443,Depok,-6.409456,106.856152,,,,,29.741666952768963,
1367443,Depok,-6.409456,106.856152,,,,,29.47499990463257,
1367443,Depok,-6.409456,106.856152,,,,,29.27916669845581,
1367443,Depok,-6.409456,106.856152,,,,,28.82083320617676,
