location_id,location_name,datetimeUtc,latitude,longitude,no,no2,o3,pm10,pm25,so2
4084,VITRY-SUR-SEINE,2018-01-06 17:00:00+00:00,48.77589800004221,2.37578800006495,,55.0,17.0,23.7,14.08,0.5
4084,VITRY-SUR-SEINE,2018-01-06 18:00:00+00:00,48.77589800004221,2.37578800006495,,48.5,18.5,24.15,12.23,1.0
4084,VITRY-SUR-SEINE,2018-01-06 19:00:00+00:00,48.77589800004221,2.37578800006495,,51.25,12.25,26.8,17.38,1.0
4084,VITRY-SUR-SEINE,2018-01-06 20:00:00+00:00,48.77589800004221,2.37578800006495,,43.25,16.0,28.13,15.43,0.75
4084,VITRY-SUR-SEINE,2018-01-06 21:00:00+00:00,48.77589800004221,2.37578800006495,,27.5,30.25,21.78,17.08,1.0
4084,VITRY-SUR-SEINE,2018-01-06 22:00:00+00:00,48.77589800004221,2.37578800006495,,24.0,32.25,20.53,16.3,1.0
4084,VITRY-SUR-SEINE,2018-01-06 23:00:00+00:00,48.77589800004221,2.37578800006495,,35.75,18.75,22.55,17.7,0.75
4084,VITRY-SUR-SEINE,2018-01-07 00:00:00+00:00,48.77589800004221,2.37578800006495,,30.75,20.0,27.35,16.2,1.0
4084,VITRY-SUR-SEINE,2018-01-07 01:00:00+00:00,48.77589800004221,2.37578800006495,,21.0,28.25,21.7,17.58,1.0
4084,VITRY-SUR-SEINE,2018-01-07 02:00:00+00:00,48.77589800004221,2.37578800006495,,15.0,33.5,20.8,19.9,1.0
4084,VITRY-SUR-SEINE,2018-01-07 03:00:00+00:00,48.77589800004221,2.37578800006495,,15.0,34.75,22.25,17.63,0.67
4084,VITRY-SUR-SEINE,2018-01-07 04:00:00+00:00,48.77589800004221,2.37578800006495,,16.0,29.25,26.5,16.7,1.0
4084,VITRY-SUR-SEINE,2018-01-07 05:00:00+00:00,48.77589800004221,2.37578800006495,,21.0,23.0,25.73,23.45,1.0
4084,VITRY-SUR-SEINE,2018-01-07 06:00:00+00:00,48.77589800004221,2.37578800006495,,26.5,18.0,27.98,23.9,1.0
4084,VITRY-SUR-SEINE,2018-01-07 07:00:00+00:00,48.77589800004221,2.37578800006495,,24.0,22.25,25.53,22.53,1.0
4084,VITRY-SUR-SEINE,2018-01-07 08:00:00+00:00,48.77589800004221,2.37578800006495,,22.25,23.75,27.35,25.58,1.0
4084,VITRY-SUR-SEINE,2018-01-07 09:00:00+00:00,48.77589800004221,2.37578800006495,,20.0,26.75,22.35,20.33,1.5
4084,VITRY-SUR-SEINE,2018-01-07 10:00:00+00:00,48.77589800004221,2.37578800006495,,18.0,31.5,17.85,18.5,1.0
