location_id,location_name,latitude,longitude,co,no2,o3,pm10,pm25,so2
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,8774.9,6.46,14.77,53.42,4.78,6.63
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,7282.2,6.39,18.59,47.84,5.56,9.13
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,7221.9,6.47,12.39,40.31,6.39,1.43
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,7804.4,6.42,7.51,32.08,7.11,0.12
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,12083.3,6.28,9.26,34.09,9.6,1.14
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,18855.1,6.43,11.89,36.64,9.32,4.82
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,20427.7,6.42,16.87,49.8,10.67,5.78
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,19968.5,6.32,16.58,63.84,11.08,9.76
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,22099.7,6.71,9.0,72.16,9.51,1.28
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,20050.6,6.64,23.06,79.91,9.19,0.27
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,16931.5,6.19,19.17,84.84,11.16,3.6
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,15543.3,6.14,20.7,77.75,11.75,8.34
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,16374.1,6.25,19.54,69.64,10.74,10.01
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,17324.5,5.7,20.61,63.64,8.73,16.32
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,21526.3,6.24,21.22,62.2,7.9,14.55
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,25518.6,6.4,10.71,61.09,7.72,1.84
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,23007.1,6.18,11.35,57.36,8.63,4.22
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,18097.8,6.31,15.6,57.88,9.24,6.98
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,14706.9,6.24,14.49,56.96,8.69,7.18
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,13496.8,6.14,22.36,57.46,7.29,10.01
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,14256.0,6.52,12.05,48.26,6.06,1.94
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,11737.9,6.58,6.46,39.92,5.95,0.26
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,9728.5,6.4,5.17,38.71,12.45,3.49
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,8194.4,6.2,15.87,33.93,14.85,6.12
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,6397.2,6.13,13.25,31.42,12.67,8.18
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,6947.6,6.03,23.05,33.61,11.4,11.38
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,8004.0,6.38,11.72,34.51,9.41,2.67
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,10085.9,6.44,9.12,37.09,7.55,0.68
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,12004.4,6.3,10.85,42.02,10.64,1.78
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,11898.5,6.29,7.6,43.86,11.72,5.15
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,16726.7,6.39,13.53,50.65,9.79,7.08
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,19063.3,6.22,18.85,62.37,9.6,11.22
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,20094.8,6.47,10.82,71.27,8.47,4.43
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,19747.4,6.51,32.49,81.69,7.56,1.42
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,15435.3,6.19,23.4,84.21,13.49,7.86
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,14978.2,6.05,32.78,75.93,15.11,12.23
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,15158.4,6.14,40.32,68.26,12.14,8.58
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,13960.5,5.66,41.46,57.53,10.41,19.13
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,14998.4,5.93,42.59,54.05,8.36,26.46
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,19498.0,5.94,21.27,53.88,6.32,15.23
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,18524.6,6.12,15.26,52.52,7.56,8.99
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,14765.0,6.27,28.92,52.46,8.03,10.45
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,13773.4,6.2,16.95,55.03,6.71,9.55
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,11824.6,5.99,19.21,52.94,6.28,14.34
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,11670.4,6.38,23.57,55.67,6.45,13.02
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,9858.3,6.49,13.76,58.88,5.66,1.54
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,10831.7,6.4,14.15,,8.37,3.35
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,8959.8,6.19,21.37,,9.6,4.92
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,7678.4,6.22,16.53,,8.39,5.76
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,6985.0,5.94,19.65,,9.75,9.63
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,8696.7,6.29,25.63,,9.1,8.35
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,12732.5,6.38,8.62,,6.9,0.03
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,16964.1,6.3,7.71,,7.88,1.18
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,19160.6,6.42,14.18,,9.6,4.35
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,19414.5,6.18,12.99,,9.59,5.91
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,18106.6,6.16,18.85,,8.46,11.29
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,17329.8,6.27,22.95,,7.67,14.17
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,20468.8,6.48,19.55,,7.29,3.87
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,16266.4,6.13,22.1,,18.7,6.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,14732.2,6.06,38.75,,22.88,9.6
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,15286.8,6.26,37.17,,17.69,5.91
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,15352.7,5.86,32.14,,13.55,15.05
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,17240.4,5.81,36.66,,10.47,23.31
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,22619.1,6.27,20.45,,9.5,9.06
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,20289.0,6.3,9.53,,9.23,2.26
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,17892.7,6.42,34.61,,8.86,5.06
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,15137.0,6.31,31.46,,8.56,4.54
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,13409.3,6.17,14.79,,8.58,7.4
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,14483.1,6.54,9.93,,8.66,1.79
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,11477.8,6.34,9.09,,7.95,0.03
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,11038.4,6.36,8.08,,7.91,3.1
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,9010.4,6.36,28.08,,8.02,4.15
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,7551.1,6.35,12.19,,6.76,5.1
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,7505.3,6.28,19.49,,6.3,7.68
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,9694.2,6.43,12.98,,6.01,1.81
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,10310.4,6.35,9.9,,6.13,0.42
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,15222.5,6.32,12.31,,6.25,4.02
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,21637.1,6.61,12.1,,5.75,5.83
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,27655.2,6.64,23.61,44.57,7.79,4.91
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,25381.4,6.71,13.25,68.73,8.54,0.44
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,22596.9,6.71,25.45,62.87,7.55,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,21816.9,6.32,14.7,67.27,6.9,2.54
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,20135.9,6.23,20.57,61.01,6.39,11.94
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,17889.3,6.18,23.25,59.15,6.33,13.61
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,17842.6,5.97,18.91,60.35,6.02,15.59
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,16561.0,5.76,16.96,61.82,5.19,24.58
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,21219.7,6.06,18.75,58.29,5.22,17.55
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,17653.5,6.4,17.77,59.07,6.02,13.72
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,14862.4,6.25,29.58,61.51,7.5,15.96
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,14250.5,6.48,24.52,57.13,7.85,5.2
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,13074.2,6.38,12.51,54.0,6.5,0.72
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,13971.6,6.43,12.42,57.9,5.76,2.32
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,10593.3,6.08,13.65,63.44,6.04,9.59
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,9037.8,6.38,11.65,64.97,5.3,2.19
