location_id,location_name,latitude,longitude,co,no,no2,o3,pm10,pm25,relativehumidity,so2,temperature
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,400.0,,,8.0,114.0,28.0,,13.1,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,19.2,11.0,101.0,24.0,,13.4,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,17.3,10.6,101.0,24.0,,13.1,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,17.7,11.6,101.0,24.0,,13.6,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,16.9,12.2,101.0,24.0,,13.6,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,400.0,,16.7,11.8,104.0,24.0,,13.4,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,18.4,12.6,104.0,24.0,,11.5,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,19.2,12.4,104.0,24.0,,10.7,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,18.8,14.3,120.0,24.0,,10.5,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,19.2,10.2,120.0,,,11.0,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,400.0,,21.8,10.2,120.0,24.0,,11.0,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,24.4,8.0,120.0,24.0,,10.5,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,26.0,11.0,77.0,14.0,,11.0,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,26.7,8.2,77.0,14.0,,11.3,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,24.3,9.4,77.0,14.0,,11.0,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,23.5,7.1,71.0,14.0,,10.7,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,24.8,9.4,71.0,14.0,,11.5,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,400.0,,28.2,8.8,71.0,14.0,,11.0,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,400.0,,28.8,11.0,71.0,14.0,,10.7,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,27.1,7.1,86.0,15.0,,10.7,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,25.4,9.6,86.0,15.0,,11.0,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,23.9,8.2,86.0,15.0,,10.7,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,200.0,,,7.5,86.0,15.0,,11.0,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,,7.3,85.0,59.0,,,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,200.0,,19.6,9.2,85.0,,,10.5,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,200.0,,22.2,10.4,85.0,59.0,,9.7,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,200.0,,20.1,9.2,85.0,59.0,,10.0,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,17.1,,73.0,12.0,,10.0,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,200.0,,16.5,,73.0,12.0,,9.4,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,200.0,,18.1,,73.0,12.0,,9.4,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,19.0,8.8,64.0,13.0,,9.7,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,,,,8.4,64.0,13.0,,,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,,,,8.2,64.0,13.0,,,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,,,18.6,8.4,64.0,13.0,,,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,200.0,,19.0,8.4,73.0,21.0,,12.6,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,19.9,8.0,73.0,21.0,,11.0,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,20.3,7.8,73.0,21.0,,10.0,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,20.7,7.5,73.0,21.0,,10.0,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,200.0,,17.9,7.3,63.0,6.0,,9.7,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,200.0,,18.6,7.8,63.0,6.0,,9.4,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,200.0,,18.2,8.0,63.0,6.0,,9.7,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,100.0,,17.5,8.0,29.0,,,10.0,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,200.0,,17.3,7.8,29.0,,,9.2,
