location_id,location_name,latitude,longitude,co,no2,pm10,pm25,so2
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,1580.0,38.1,118.67,61.15,0.51
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,1620.0,35.43,137.26,82.08,2.3
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,1490.0,29.46,148.8,90.25,1.01
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,1330.0,24.07,135.43,81.84,1.32
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,1220.0,23.06,122.37,71.89,1.04
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,1160.0,23.71,107.7,68.63,0.0
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,1030.0,23.12,94.21,67.12,0.7
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,900.0,23.98,80.03,59.51,0.82
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,,22.21,66.66,46.57,0.46
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,1020.0,,83.75,45.09,0.93
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,710.0,50.96,100.18,52.86,1.27
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,440.0,44.46,91.88,44.9,
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,310.0,23.9,64.04,24.05,0.46
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,290.0,27.13,38.77,12.08,0.04
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,310.0,19.56,47.66,6.78,0.68
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,280.0,14.47,40.41,8.71,0.36
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,250.0,14.19,30.76,13.99,0.26
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,280.0,21.18,33.03,16.69,0.18
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,400.0,33.12,40.71,24.69,0.08
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,630.0,49.0,53.74,31.07,0.47
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,1140.0,62.99,72.61,43.77,1.11
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,1450.0,67.42,106.0,52.72,0.67
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,1210.0,58.7,151.64,87.8,0.32
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,860.0,44.69,146.36,93.35,0.97
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,1280.0,51.4,108.48,71.39,1.42
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,730.0,58.97,87.9,28.91,0.82
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,1030.0,55.12,87.41,39.43,1.59
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,1200.0,45.32,93.89,53.67,1.75
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,1280.0,35.15,63.19,55.77,2.58
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,1570.0,37.21,90.35,64.02,0.44
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,1330.0,28.41,171.6,118.36,1.73
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,1410.0,28.99,200.0,125.32,1.81
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,1370.0,23.2,200.0,143.86,1.4
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,1200.0,22.34,75.46,97.12,2.12
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,1010.0,21.37,65.61,65.98,2.22
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,,21.28,81.15,25.63,1.76
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,740.0,,89.87,42.53,1.1
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,820.0,31.46,37.76,38.85,1.83
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,340.0,48.37,11.67,51.33,
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,280.0,30.04,20.45,24.68,0.65
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,250.0,15.19,51.67,20.54,1.12
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,250.0,11.59,62.87,25.1,0.39
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,240.0,10.48,36.83,8.05,1.04
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,240.0,10.83,21.14,5.2,0.76
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,210.0,9.42,8.04,3.31,0.95
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,200.0,10.99,23.65,8.99,0.52
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,210.0,13.02,41.18,12.98,0.8
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,220.0,19.0,35.84,13.83,0.44
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,250.0,22.44,28.08,9.56,0.26
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,260.0,20.18,18.85,8.21,0.49
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,250.0,14.22,18.6,10.77,0.68
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,250.0,15.02,22.57,12.18,1.59
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,270.0,18.57,26.08,12.57,0.47
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,460.0,35.7,21.46,11.14,1.24
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,670.0,42.77,32.31,17.45,1.15
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,700.0,40.83,43.15,26.53,0.11
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,700.0,36.19,49.18,30.36,0.21
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,680.0,34.07,51.78,29.66,0.56
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,,38.31,57.01,29.53,0.19
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,620.0,,106.58,20.05,0.6
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,730.0,34.83,98.06,22.65,0.7
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,760.0,31.73,38.86,32.9,
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,640.0,34.27,34.43,55.37,3.2
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,630.0,41.6,60.75,73.92,0.33
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,570.0,41.33,111.33,77.43,1.48
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,390.0,30.3,93.85,47.42,1.22
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,340.0,22.52,26.96,11.62,0.82
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,320.0,20.48,0.31,0.07,0.44
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,330.0,27.82,73.85,14.54,0.32
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,310.0,21.03,75.43,25.38,0.47
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,300.0,15.06,121.15,9.81,1.13
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,380.0,22.11,75.95,6.79,1.24
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,470.0,44.05,38.1,17.23,1.81
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,720.0,53.83,63.36,25.7,1.78
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,1000.0,51.68,70.72,30.36,1.53
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,1040.0,53.12,82.09,44.51,1.03
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,1510.0,59.16,101.83,65.51,0.86
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,1690.0,52.55,133.67,94.45,1.29
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,1430.0,52.16,150.35,105.92,1.56
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,830.0,36.37,146.7,97.14,0.9
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,540.0,21.95,104.39,65.68,0.84
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,,19.39,58.78,32.58,1.51
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,430.0,,48.21,30.31,0.91
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,360.0,16.76,33.06,25.89,1.08
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,360.0,16.39,24.83,15.44,
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,400.0,20.77,19.26,10.61,0.97
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,450.0,23.94,24.63,16.85,1.05
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,480.0,31.12,49.8,23.49,0.36
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,480.0,25.02,42.8,27.39,1.59
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,410.0,22.78,38.2,24.55,0.09
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,340.0,16.23,39.14,17.94,0.74
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,260.0,8.97,37.04,10.92,1.24
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,220.0,6.68,24.4,7.22,0.09
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,210.0,5.51,6.13,5.67,1.22
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,210.0,6.26,7.75,6.0,0.95
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,290.0,11.62,18.13,3.64,1.04
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,450.0,29.21,21.2,8.02,1.2
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,590.0,38.83,29.0,17.38,1.21
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,710.0,44.75,48.72,31.72,0.68
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,800.0,42.64,52.55,35.22,0.62
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,1190.0,39.16,60.08,33.22,1.34
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,1260.0,30.35,76.14,40.29,0.6
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,1390.0,27.35,83.46,50.13,0.98
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,1580.0,20.48,86.13,58.67,2.41
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,,16.64,92.39,58.83,1.89
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,1440.0,,84.44,62.61,1.14
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,1200.0,15.68,89.57,63.54,1.3
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,1060.0,17.58,87.02,55.23,
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,810.0,25.05,69.35,47.15,0.9
2162896,Pomigliano d'Arco Area ASI,40.92086999979741,14.38946000008823,810.0,21.22,60.82,37.83,1.18
